name,pincode,address,phone,email,url,country,state,city,star_count,category_name,sub_catergory,Descriptions,prices
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.9,Venue,"Hall (Built-In Stage / Modern Decor / Air Conditioning / Buffet Tables / Spacious Area / Sound System / Event Lighting), Open Area (Rustic Decor / Canopy Drapes / Lanterns / Fountain Area / Food Trucks / Chill Out Zone / Flower Arch), Resort (Luxury Cottages / Outdoor Pool / Game Zone / Lawn Events / Lounge Music / Private Beach / Exclusive Dining)","Offers 15000 sq ft pillarless banquet hall, in-house lighting team, 3D projection mapping, themed decor packages, capacity up to 1000 guests, valet parking, dedicated AV team.","4704, 6067, 2360"
Food-n-Food (one of best caterers in nagpur),440017,"1015 Buddha Nagar Behind Inox Jaswant Tuli Mall, near Kalgidhar Gurudwara, Nagpur, Maharashtra 440017, India",+91 89832 02110,contact@foodnfood.online,https://www.foodnfood.online/,India,Maharashtra,Nagpur,4.3,Venue,"Resort (Themed Rooms / Indoor Pool / Outdoor Deck / Beachfront Party / Bonfire Zone / Exclusive Menu / Light Displays), Open Area (Outdoor Movie Screening / Live Music Band / Food Cart Corner / Picnic Tables / Fairy Tale Path / Themed Photo Booth / LED Walls), Hall (Soundproofing / Projection Facilities / Luxurious Decor / Tables and Chairs Setup / Grand Stage / Reception Area / Security Arrangements)","Features 3 banquet halls (200-500 pax each), outdoor lawn space, customizable lighting, separate dining area, bridal room, dedicated parking for 100 vehicles.","6815, 6375, 3779"
Ibaana Catering Service contactor (Veg & Non - Veg),607106,"No. 11, near Panuti ITI, AP Sivaraman Nagar, Panruti, Tamil Nadu 607106, India",+91 96291 63502,smb_web@support.whatsapp.com,http://wa.me/+919629163502,India,Tamil Nadu,Panruti,5.0,Caterers,"Mediterranean (Falafel / Dolma / Hummus / Baba Ganoush / Tabbouleh / Pita Bread / Spanakopita), Chinese (Dumplings / Kung Pao Chicken / Fried Rice / Chow Mein / Sweet and Sour Pork / Spring Rolls / Noodles), Japanese (Onigiri/ Tempura/ Ramen/ Miso Soup/ Sushi/ Sashimi/ Takoyaki)","Specializes in Chettinad cuisine, seafood specialties, live dosa counter, 24-hour advance booking, minimum order 50 plates, signature dishes include prawn biryani and fish curry.","2339, 4380, 8789"
Bunchi's,201002,"Sector 11, Raj Nagar, Ghaziabad, Uttar Pradesh 201002, India",+91 85880 50215,filler@godaddy.com,http://www.bunchis.com/,India,Uttar Pradesh,Kanpur,5.0,Venue,"Open Area (Lush Gardens / Pond Area / Camping Setup / Floating Candles / Gazebo / Mini Stage / Firepit), Resort (VIP Rooms / Luxury Spa / Private Poolside Cabanas / Open Lawn Events / Waterfront Setup / Dining Lounge / Custom Themes), Hall (Built-In AV Facilities / High-Tech Sound / Dance Space / Multiple Rooms / Event Staff / Mood Lighting / Modern Decorations)","Two air-conditioned halls (300 & 500 pax), rooftop garden setup, dedicated entrance for baraat, in-house sound system, power backup, complimentary changing rooms.","3952, 5714, 2805"
Shiv Sagar Caterers & Mandap Decorator,401105,"Shop No. 2, Jai Sai Bhoomi Bldg, New Golden Nest Rd, Bhayandar, Mumbai, Maharashtra 401105, India",+91 98207 69628,filler@godaddy.com,http://www.shivsagarcatering.com/,India,Maharashtra,Mumbai,4.8,Caterers,"Chinese (Sweet and Sour Pork / Chow Mein / Peking Duck / Spring Rolls / Noodles / Dumplings / Kung Pao Chicken), Japanese (Ramen / Sushi / Tempura / Sashimi / Miso Soup / Takoyaki / Udon), Italian (Pasta / Ravioli / Pizza / Risotto / Lasagna / Bruschetta / Tiramisu)","Expert in Maharashtrian thali, live food counters (pav bhaji, chaat, pizza), specialized in Malvani cuisine, eco-friendly packaging, minimum booking 100 plates.","1572, 9406, 7143"
Bismi wedding catering service,600011,"83, Paper Mills Road, next to Venus park, Sembiyan, Perambur, Chennai, Tamil Nadu 600011, India",+91 99620 99785,bismibiriyaniperambur@gmail.com,http://www.bismicaterersperambur.com/,India,Tamil Nadu,Chennai,4.9,Caterers,"Mediterranean (Falafel / Hummus / Tabbouleh / Baba Ganoush / Pita Bread / Kofta / Spanakopita), Italian (Pizza / Pasta / Risotto / Ravioli / Lasagna / Panini / Bruschetta), Thai (Pad Thai / Tom Yum Soup / Green Curry / Massaman Curry / Satay / Fried Rice / Papaya Salad)","Famous for Thalappakatti-style biryani, 7 varieties of payasam, live appam counter, traditional banana leaf setup, VIP dining arrangements, bulk orders accepted.","1693, 1878, 9513"
FLAMBE Events & Hospitality,411015,"Shop No. 2, Om Sai Building, Dhanori - Tingre Nagar Rd, Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori, Pune, Maharashtra 411015, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Maharashtra,Pune,4.4,Caterers,"Japanese (Sushi / Udon / Ramen / Tempura / Sashimi / Onigiri / Takoyaki), Italian (Lasagna / Pizza / Tiramisu / Pasta / Bruschetta / Panini / Ravioli), Mediterranean (Dolma / Hummus / Tabbouleh / Falafel / Pita Bread / Baba Ganoush / Kofta)","International cuisine experts, molecular gastronomy options, themed food stations, butler service available, wine pairing expertise, customized menu cards.","6513, 4101, 8649"
FLAMBE Events & Hospitality,226002,"Sector 2A, near Medanta, Golf City, Bagiamau, Lucknow, Uttar Pradesh 226002, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Uttar Pradesh,Kanpur,5.0,Venue,"Open Area (Outdoor Stage / Garden Setup / Tent Decoration / Live Barbecue / Ambient Lighting / Seating Arrangement / Floral Pathway), Hall (Air-Conditioned Hall / Stage with Lighting / Projector Screen / Catering Area / Decorated Entrance / Soundproofing / Banquet Seating), Resort (Swimming Pool / Luxury Rooms / Beachside Setup / Lawn Area / Themed Decor / Spa Facilities / Private Dining)","Offers 25000 sq ft lawn, colonial-style indoor hall, dedicated stage area, green rooms, premium washrooms, ample parking space, in-house decor team.","3955, 4548, 3755"
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,Makeup,"Bridal Makeup (Foundation / Contouring / Eye Makeup / Lipstick / Highlighter / Eyebrow Shaping / Setting Spray), Heavy Makeup (Primer / Concealer / Smokey Eye / Blush / False Eyelashes / Lip Liner / Shimmer Powder), Light Touch-Up (BB Cream / Compact Powder / Eyeliner / Lip Gloss / Light Mascara / Moisturizer / Blush)","HD makeup services, airbrush techniques, celebrity makeup artists, pre-bridal packages, group booking discounts, traditional and modern styling options.","5958, 2908, 3916"
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,4.5,Venue,"Hall (Decorated Ceiling / Sound System / Dance Floor / Stage Setup / Projector / Catering Space / Luxury Chairs), Resort (Garden Lawn / Poolside Stage / Indoor Banquet Hall / Cottages / Personalized Services / Beach Setup / Private Pavilion), Open Area (Farmhouse Setup / Seating Canopy / Food Stations / LED Screens / Outdoor Music Stage / Pathway Lighting / Open-Air Games)","20000 sq ft air-conditioned hall, seaside view, separate cocktail area, bridal suite, valet parking, dedicated elevator, state-of-art AV system.","9645, 8924, 4984"
